Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
My Sweet Lord / Isn't It a Pity,George Harrison,1971,1,2,George Harrison,None,None
My Sweet Lord / Isn't It a Pity,George Harrison,1971,1,9,George Harrison,None,None
My Sweet Lord / Isn't It a Pity,George Harrison,1971,1,16,George Harrison,None,None
Knock Three Times,Dawn,1971,1,23,Dawn,None,None
Knock Three Times,Dawn,1971,1,30,Dawn,None,None
Knock Three Times,Dawn,1971,2,6,Dawn,None,None
One Bad Apple,The Osmonds,1971,2,13,The Osmonds,None,None
One Bad Apple,The Osmonds,1971,2,20,The Osmonds,None,None
One Bad Apple,The Osmonds,1971,2,27,The Osmonds,None,None
One Bad Apple,The Osmonds,1971,3,6,The Osmonds,None,None
One Bad Apple,The Osmonds,1971,3,13,The Osmonds,None,None
Me and Bobby McGee,Janis Joplin,1971,3,20,Janis Joplin,None,None
Me and Bobby McGee,Janis Joplin,1971,3,27,Janis Joplin,None,None
Just My Imagination (Running Away with Me),The Temptations,1971,4,3,The Temptations,None,None
Just My Imagination (Running Away with Me),The Temptations,1971,4,10,The Temptations,None,None
Joy to the World,Three Dog Night,1971,4,17,Three Dog Night,None,None
Joy to the World,Three Dog Night,1971,4,24,Three Dog Night,None,None
Joy to the World,Three Dog Night,1971,5,1,Three Dog Night,None,None
Joy to the World,Three Dog Night,1971,5,8,Three Dog Night,None,None
Joy to the World,Three Dog Night,1971,5,15,Three Dog Night,None,None
Joy to the World,Three Dog Night,1971,5,22,Three Dog Night,None,None
Brown Sugar,The Rolling Stones,1971,5,29,The Rolling Stones,None,None
Brown Sugar,The Rolling Stones,1971,6,5,The Rolling Stones,None,None
Want Ads,Honey Cone,1971,6,12,Honey Cone,None,None
It's Too Late / I Feel the Earth Move,Carole King,1971,6,19,Carole King,None,None
It's Too Late / I Feel the Earth Move,Carole King,1971,6,26,Carole King,None,None
It's Too Late / I Feel the Earth Move,Carole King,1971,7,3,Carole King,None,None
It's Too Late / I Feel the Earth Move,Carole King,1971,7,10,Carole King,None,None
It's Too Late / I Feel the Earth Move,Carole King,1971,7,17,Carole King,None,None
Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders,1971,7,24,The Raiders,None,None
You've Got a Friend,James Taylor,1971,7,31,James Taylor,None,None
How Can You Mend a Broken Heart,Bee Gees,1971,8,7,Bee Gees,None,None
How Can You Mend a Broken Heart,Bee Gees,1971,8,14,Bee Gees,None,None
How Can You Mend a Broken Heart,Bee Gees,1971,8,21,Bee Gees,None,None
How Can You Mend a Broken Heart,Bee Gees,1971,8,28,Bee Gees,None,None
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,1971,9,4,Paul & Linda McCartney,None,None
Go Away Little Girl,Donny Osmond,1971,9,11,Donny Osmond,None,None
Go Away Little Girl,Donny Osmond,1971,9,18,Donny Osmond,None,None
Go Away Little Girl,Donny Osmond,1971,9,25,Donny Osmond,None,None
Maggie May / Reason to Believe,Rod Stewart,1971,10,2,Rod Stewart,None,None
Maggie May / Reason to Believe,Rod Stewart,1971,10,9,Rod Stewart,None,None
Maggie May / Reason to Believe,Rod Stewart,1971,10,16,Rod Stewart,None,None
Maggie May / Reason to Believe,Rod Stewart,1971,10,23,Rod Stewart,None,None
Maggie May / Reason to Believe,Rod Stewart,1971,10,30,Rod Stewart,None,None
"Gypsys, Tramps & Thieves",Cher,1971,11,6,Cher,None,None
"Gypsys, Tramps & Thieves",Cher,1971,11,13,Cher,None,None
Theme from Shaft,Isaac Hayes,1971,11,20,Isaac Hayes,None,None
Theme from Shaft,Isaac Hayes,1971,11,27,Isaac Hayes,None,None
Family Affair,Sly and the Family Stone,1971,12,4,Sly and the Family Stone,None,None
Family Affair,Sly and the Family Stone,1971,12,11,Sly and the Family Stone,None,None
Family Affair,Sly and the Family Stone,1971,12,18,Sly and the Family Stone,None,None
Brand New Key,Melanie,1971,12,25,Melanie,None,None
Brand New Key,Melanie,1972,1,1,Melanie,None,None
Brand New Key,Melanie,1972,1,8,Melanie,None,None
American Pie,Don McLean,1972,1,15,Don McLean,None,None
American Pie,Don McLean,1972,1,22,Don McLean,None,None
American Pie,Don McLean,1972,1,29,Don McLean,None,None
American Pie,Don McLean,1972,2,5,Don McLean,None,None
Let's Stay Together,Al Green,1972,2,12,Al Green,None,None
Without You,Nilsson,1972,2,19,Nilsson,None,None
Without You,Nilsson,1972,2,26,Nilsson,None,None
Without You,Nilsson,1972,3,4,Nilsson,None,None
Without You,Nilsson,1972,3,11,Nilsson,None,None
Heart of Gold,Neil Young,1972,3,18,Neil Young,None,None
A Horse with No Name,America,1972,3,25,America,None,None
A Horse with No Name,America,1972,4,1,America,None,None
A Horse with No Name,America,1972,4,8,America,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,4,15,Roberta Flack,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,4,22,Roberta Flack,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,4,29,Roberta Flack,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,5,6,Roberta Flack,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,5,13,Roberta Flack,None,None
The First Time Ever I Saw Your Face,Roberta Flack,1972,5,20,Roberta Flack,None,None
Oh Girl,The Chi-Lites,1972,5,27,The Chi-Lites,None,None
I'll Take You There,The Staple Singers,1972,6,3,The Staple Singers,None,None
The Candy Man,Sammy Davis Jr.,1972,6,10,Sammy Davis Jr.,None,None
The Candy Man,Sammy Davis Jr.,1972,6,17,Sammy Davis Jr.,None,None
The Candy Man,Sammy Davis Jr.,1972,6,24,Sammy Davis Jr.,None,None
Song Sung Blue,Neil Diamond,1972,7,1,Neil Diamond,None,None
Lean on Me,Bill Withers,1972,7,8,Bill Withers,None,None
Lean on Me,Bill Withers,1972,7,15,Bill Withers,None,None
Lean on Me,Bill Withers,1972,7,22,Bill Withers,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,7,29,Gilbert O'Sullivan,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,8,5,Gilbert O'Sullivan,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,8,12,Gilbert O'Sullivan,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,8,19,Gilbert O'Sullivan,None,None
Brandy (You're a Fine Girl),Looking Glass,1972,8,26,Looking Glass,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,9,2,Gilbert O'Sullivan,None,None
Alone Again (Naturally),Gilbert O'Sullivan,1972,9,9,Gilbert O'Sullivan,None,None
Black and White,Three Dog Night,1972,9,16,Three Dog Night,None,None
"Baby, Don't Get Hooked on Me",Mac Davis,1972,9,23,Mac Davis,None,None
