Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2,SongTitle,PriArtName
my sweet lord  isnt it a pity,George Harrison,1971,1,2,george harrison,None,None,My Sweet Lord / Isn't It a Pity,George Harrison
my sweet lord  isnt it a pity,George Harrison,1971,1,9,george harrison,None,None,My Sweet Lord / Isn't It a Pity,George Harrison
my sweet lord  isnt it a pity,George Harrison,1971,1,16,george harrison,None,None,My Sweet Lord / Isn't It a Pity,George Harrison
knock three times,Dawn,1971,1,23,dawn,None,None,Knock Three Times,Dawn
knock three times,Dawn,1971,1,30,dawn,None,None,Knock Three Times,Dawn
knock three times,Dawn,1971,2,6,dawn,None,None,Knock Three Times,Dawn
one bad apple,The Osmonds,1971,2,13,the osmonds,None,None,One Bad Apple,The Osmonds
one bad apple,The Osmonds,1971,2,20,the osmonds,None,None,One Bad Apple,The Osmonds
one bad apple,The Osmonds,1971,2,27,the osmonds,None,None,One Bad Apple,The Osmonds
one bad apple,The Osmonds,1971,3,6,the osmonds,None,None,One Bad Apple,The Osmonds
one bad apple,The Osmonds,1971,3,13,the osmonds,None,None,One Bad Apple,The Osmonds
me and bobby mcgee,Janis Joplin,1971,3,20,janis joplin,None,None,Me and Bobby McGee,Janis Joplin
me and bobby mcgee,Janis Joplin,1971,3,27,janis joplin,None,None,Me and Bobby McGee,Janis Joplin
just my imagination running away with me,The Temptations,1971,4,3,the temptations,None,None,Just My Imagination (Running Away with Me),The Temptations
just my imagination running away with me,The Temptations,1971,4,10,the temptations,None,None,Just My Imagination (Running Away with Me),The Temptations
joy to the world,Three Dog Night,1971,4,17,three dog night,None,None,Joy to the World,Three Dog Night
joy to the world,Three Dog Night,1971,4,24,three dog night,None,None,Joy to the World,Three Dog Night
joy to the world,Three Dog Night,1971,5,1,three dog night,None,None,Joy to the World,Three Dog Night
joy to the world,Three Dog Night,1971,5,8,three dog night,None,None,Joy to the World,Three Dog Night
joy to the world,Three Dog Night,1971,5,15,three dog night,None,None,Joy to the World,Three Dog Night
joy to the world,Three Dog Night,1971,5,22,three dog night,None,None,Joy to the World,Three Dog Night
brown sugar,The Rolling Stones,1971,5,29,the rolling stones,None,None,Brown Sugar,The Rolling Stones
brown sugar,The Rolling Stones,1971,6,5,the rolling stones,None,None,Brown Sugar,The Rolling Stones
want ads,Honey Cone,1971,6,12,honey cone,None,None,Want Ads,Honey Cone
its too late  i feel the earth move,Carole King,1971,6,19,carole king,None,None,It's Too Late / I Feel the Earth Move,Carole King
its too late  i feel the earth move,Carole King,1971,6,26,carole king,None,None,It's Too Late / I Feel the Earth Move,Carole King
its too late  i feel the earth move,Carole King,1971,7,3,carole king,None,None,It's Too Late / I Feel the Earth Move,Carole King
its too late  i feel the earth move,Carole King,1971,7,10,carole king,None,None,It's Too Late / I Feel the Earth Move,Carole King
its too late  i feel the earth move,Carole King,1971,7,17,carole king,None,None,It's Too Late / I Feel the Earth Move,Carole King
indian reservation the lament of the cherokee reservation indian,The Raiders,1971,7,24,the raiders,None,None,Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders
